,falling,area,bb_ratio,hu1,hu2,hu3,hu4,hu5,hu6,hu7,variance
67,0,1638,1.07692307692,0.00120525095826,1.10136143613e-07,7.55882754151e-11,6.03551144498e-12,1.28912605551e-22,8.23160829481e-16,4.75049681733e-25,15479.7193039
68,0,1452,1.33333333333,0.0014646195039,1.24211302092e-07,2.84736844065e-10,2.15037258407e-11,9.21130110149e-22,-6.44884819278e-15,-1.40812367668e-21,16113.635083
69,0,1218,1.44827586207,0.0020248770327,9.49554334007e-07,1.76766439988e-10,6.49188873206e-11,-6.09846862331e-21,-6.22840894933e-14,-3.3424028149e-21,16108.8010204
70,0,1628,1.18918918919,0.00139920410844,2.06294514871e-08,4.2746283318e-12,2.32681963569e-11,7.78080970901e-23,-2.01854716407e-15,2.18622964887e-22,15841.622346
71,0,1240,1.29032258065,0.00173890804322,1.87587565764e-07,3.50505203614e-11,5.72410737045e-11,1.77081821224e-21,2.24102573271e-14,-1.8541905231e-21,16256.2077101
72,0,1734,1.5,0.00121980353695,2.90067412253e-07,6.88282655967e-11,1.36824127424e-11,3.18048851369e-22,3.86901430606e-15,-2.74127659142e-22,15365.0519031
73,0,1426,1.48387096774,0.00145473761854,3.65991965958e-07,2.42519038224e-11,9.90583830895e-12,-1.20782694752e-22,-9.94664254389e-16,-9.47881583894e-23,15961.5475299
74,0,1564,1.35294117647,0.00168436187257,1.81259947528e-07,8.95408552526e-11,3.06357476708e-11,1.57352471709e-21,6.16675987481e-15,3.14009131025e-22,16254.0967628
75,0,1598,1.38235294118,0.00154337677943,1.66403317475e-07,6.60570436039e-11,2.39178432477e-11,9.1742651582e-22,5.66026314117e-15,2.49309673067e-22,16145.3287687
76,0,1530,1.32352941176,0.00140411548582,2.86383518051e-07,6.81364440824e-11,1.32872963615e-11,-1.57338403613e-22,3.4239930247e-15,-3.6754053791e-22,16087.25
77,0,1530,1.32352941176,0.00121587039836,5.09530648151e-08,1.40319296553e-12,2.0836832688e-11,3.62880594464e-23,1.64274203869e-15,1.06665770013e-22,15490.8055556
78,0,1598,1.38235294118,0.00168013435089,2.20635099327e-07,2.2570441878e-10,9.78657110779e-11,1.39998178253e-20,4.45329031577e-14,3.94515018701e-21,16245.0203712
79,0,1280,1.25,0.00151667049107,1.8728843109e-07,3.86676454469e-11,4.20782522908e-11,-5.39918244386e-22,-1.57323447393e-14,1.60914242996e-21,16002.2460938
80,0,1443,1.05405405405,0.00153579485095,2.35042383613e-07,4.08503784577e-11,7.25239453263e-11,3.38570347638e-21,1.49044401147e-14,2.02968650299e-21,16254.4934107
81,0,1344,1.3125,0.00153920915714,1.40219071444e-07,9.48204074555e-11,4.49199210403e-11,1.45950307015e-21,2.8447910601e-15,2.54250157406e-21,16206.9683464
82,0,1504,1.46875,0.00208867190765,5.66548549354e-07,6.66062558407e-11,2.61114691231e-11,-5.5099998181e-22,1.09123717077e-14,9.39250864956e-22,16081.3564095
83,0,1540,1.25714285714,0.00162372239531,1.42006697862e-07,4.60349580306e-11,5.60152968719e-11,-2.62951922739e-21,1.76441318487e-14,-1.08477216948e-21,16251.6163244
84,0,1634,1.13157894737,0.00149742450515,5.25351327715e-08,2.40494565179e-11,1.43012671678e-11,2.21213744857e-22,2.40181618554e-15,-1.46317343986e-22,16036.4521363
85,0,975,1.56,0.00212992794927,1.12113448186e-06,1.15650997099e-10,2.50550175802e-10,-1.92273146512e-20,-1.03606056025e-13,-3.8069854171e-20,16132.6982249
86,0,1350,1.5,0.0014633588337,3.17430124119e-07,4.27908516723e-10,1.14244601188e-10,-2.45533869979e-20,-5.66903591793e-14,-5.93177872002e-21,16212.5432099
87,0,1496,1.29411764706,0.00171067016243,1.07186769674e-07,2.27154958463e-10,6.11831548278e-11,-4.93108617138e-21,-1.58436905784e-14,-5.26403609448e-21,16256.2209452
88,0,1152,1.125,0.00131078304267,1.76682501035e-07,7.23534835235e-12,3.84092716968e-11,1.23492202972e-22,-7.16905748873e-15,-6.28278909124e-22,16128.8070679
89,0,1550,1.61290322581,0.00143561014951,5.37809074523e-07,2.32230982588e-11,3.28210898683e-11,6.74753601536e-22,2.23751758034e-14,-6.04793874336e-22,15819.7096358
90,0,1088,1.0625,0.000847418412936,3.11226353774e-09,4.61093503132e-13,4.14355151595e-13,-5.43121373269e-26,-2.2814723235e-17,-1.7277937786e-25,10454.095459
91,0,1786,1.23684210526,0.00121925621467,1.83057279859e-07,4.4632539811e-11,6.65241117049e-11,3.57355692141e-21,2.77528060676e-14,-6.07860107948e-22,15269.600697
92,0,1147,1.1935483871,0.000827681139571,3.52657177714e-08,2.18658665513e-11,2.91603257723e-13,-4.61515610298e-25,1.77646303127e-17,-5.73745356523e-25,11460.3554324
93,0,1036,1.32142857143,0.00171663872548,3.10142806484e-07,2.34094485914e-10,3.68765819974e-10,6.65708479313e-20,1.76343879468e-13,-8.548478387e-20,16221.3533825
94,0,868,1.10714285714,0.00175463296797,1.26292908399e-07,4.47754422191e-11,1.16983762506e-10,-2.21995230594e-21,-4.08712732843e-14,8.17036650651e-21,16193.3329374
95,0,2538,1.14893617021,0.000883469075831,2.17177039146e-08,9.35513546682e-12,3.28876617249e-12,-1.24992917748e-25,-3.58925811346e-16,-1.8241659314e-23,10051.4290934
96,0,1376,1.34375,0.000884274465647,8.94237741893e-08,9.1376632972e-12,1.58730374642e-12,1.28330424391e-24,4.46494298944e-16,5.90737355351e-24,10511.2489939
97,0,1320,1.21212121212,0.000918851838422,4.5654126475e-08,4.70994640081e-13,9.86733697258e-12,1.90198769835e-23,-1.47684768891e-16,-9.52582937531e-24,11736.7438017
98,0,918,1.25925925926,0.000782891376209,2.29491745711e-08,8.35970296522e-13,7.14644078275e-13,-3.38153683991e-25,1.08240636197e-16,-4.36766250515e-25,7441.12654321
99,0,1365,1.11428571429,0.00102472507723,2.66420140491e-08,9.09865403146e-12,8.484656983e-12,-4.8543622302e-23,1.64270798004e-16,-5.65775905481e-23,13411.610192
100,0,1440,1.11111111111,0.000854986293353,7.6793191559e-09,3.02846830454e-11,1.17215794729e-12,3.60418169806e-24,8.00810688477e-17,-5.98189734137e-24,11213.7707248
101,0,864,1.18518518519,0.0012450654955,4.49057981603e-08,3.4015875092e-11,1.39853896141e-11,-9.0686539057e-23,-1.7333550376e-15,-2.91244897863e-22,15841.5337457
