area,bb_ratio,falling,hue1,hue2,hue3,hue4,hue5,hue6,hue7,position,variance
1122,1.0303030303030303,0,0.0013906067173832964,2.6857614079046138e-08,2.7020895479870654e-11,1.0556129992759752e-10,-3.2784692743993723e-21,-9.090171782573597e-15,4.586505484151123e-21,1,3386.585113888889
1406,1.027027027027027,0,0.0011281947637554485,7.364592597827829e-09,5.560755025750562e-12,3.4546893484314997e-12,8.433045735068711e-24,-1.6248515080727192e-16,1.257620312437694e-23,1,3390.385884331597
1020,1.1333333333333333,0,0.0012927894517438063,1.9169165910515731e-07,5.4206464256277285e-11,4.923591445756477e-11,1.9411931621301364e-21,1.698253694039918e-15,1.6436733915675478e-21,1,3536.868203081597
1184,1.15625,0,0.0011289222077176797,5.4209649054199194e-08,3.352189174861458e-11,6.480882175847798e-12,-9.551255013353569e-23,-4.240997395202141e-16,1.5202791040822741e-24,1,3224.11689578993
1044,1.2413793103448276,0,0.0013329046220333684,4.230207853110102e-08,2.491401654155218e-10,9.104254943323231e-11,1.3620412289992383e-20,1.7541038682291322e-14,1.5788130985632947e-21,1,3543.103779123264
1330,1.0857142857142856,0,0.001204459521251905,2.285002502251005e-08,2.5561521884455483e-11,3.335684425482473e-11,-6.346439091291291e-22,-1.0271629734650413e-15,-7.388875451808e-22,1,3906.3325100260413
980,1.25,0,0.001280080285079185,2.468452562798024e-07,2.286544490461271e-10,6.873785434966791e-11,8.094808193578093e-21,2.6465321813128447e-14,2.955712979882779e-21,1,3570.3456104166667
1575,1.2857142857142858,0,0.0011948927443210242,1.68985834421237e-07,9.433377320876108e-11,1.6347025531840498e-11,-6.014353553913987e-22,-5.6807811895538e-15,2.2440434122138677e-22,1,3529.641791493056
1260,1.0285714285714285,0,0.001244639793497804,2.3121144475342497e-08,7.147169271551532e-11,8.287544127774263e-11,-5.220117874225509e-21,-8.856533503197497e-15,-3.6651389800556136e-21,1,3728.528288888889
1558,1.0789473684210527,0,0.0011423153669870931,1.0818967238602254e-07,8.385002448191174e-11,4.79974979174759e-12,9.239714495245246e-23,7.981973866436506e-16,2.710091238933049e-23,1,3718.9643604166668
1320,1.4666666666666666,0,0.0011603586067755341,1.2916604845505026e-07,1.150872992621616e-10,2.655008619323367e-12,4.562832138799945e-23,-4.514730034218276e-16,8.482608245585805e-24,1,3161.648678993056
1080,1.4814814814814814,0,0.0012531538251516119,2.7091051085623954e-07,3.031605280367394e-11,4.9280301729639955e-11,1.246581475454367e-21,1.8083764360613763e-14,1.4402247201213293e-21,1,3225.6396109375
1225,1.0,0,0.0011399669870748954,3.6616231863283816e-08,1.1568293305913391e-12,6.763222048170157e-12,-5.076398064087499e-24,-1.0329590801141597e-15,-1.8223727687978522e-23,1,3782.300794270833
1140,1.2666666666666666,0,0.0013027705262835328,8.186900775862917e-08,2.0859621149194186e-11,3.526099500593475e-11,8.000078402340394e-22,9.492474368091875e-15,-5.239283581480853e-22,1,3257.2871831597226
1584,1.4545454545454546,0,0.0010170543656228253,1.9971562733512193e-07,3.2599509716865787e-11,2.3308151962009214e-12,1.510833496773141e-23,6.311244971340818e-16,-1.358430599586036e-23,1,4879.121595442709
1247,1.4827586206896552,0,0.0012157914176233364,2.6165469510848274e-07,4.505911436835666e-11,4.74821605328154e-12,-6.792027395551507e-23,-9.96653973402551e-16,-1.450749025037525e-23,1,3539.886178993055
